"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","significance"
"ENSG00000223972",0.0194555235977563,-0.762895305055083,3.33310783118575,-0.228884075671708,0.8189590178275,NA,"DDX11L1","Not Significant"
"ENSG00000227232",0.479786392383167,0.734352098445539,0.938683164567709,0.782321582153579,0.434025606299473,NA,"WASH7P","Not Significant"
"ENSG00000278267",0.691443693591991,-0.21506418407351,0.84482460655254,-0.254566666744141,0.799057807208682,NA,"MIR6859-1","Not Significant"
"ENSG00000243485",0.0510185982965032,-0.4500122409045,2.78288352095891,-0.161707178009893,0.871536451708153,NA,"MIR1302-2HG","Not Significant"
"ENSG00000284332",0,NA,NA,NA,NA,NA,"MIR1302-2","Not Significant"
"ENSG00000237613",0,NA,NA,NA,NA,NA,"FAM138A","Not Significant"
"ENSG00000268020",0,NA,NA,NA,NA,NA,"ENSG00000268020","Not Significant"
"ENSG00000240361",0,NA,NA,NA,NA,NA,"OR4G11P","Not Significant"
"ENSG00000186092",0,NA,NA,NA,NA,NA,"OR4F5","Not Significant"
"ENSG00000238009",1.02741208216937,-1.64305114654693,0.840953252778183,-1.95379605360813,0.0507253411857223,NA,"ENSG00000238009","Not Significant"
"ENSG00000239945",0,NA,NA,NA,NA,NA,"ENSG00000239945","Not Significant"
"ENSG00000233750",0.0864012998285016,-0.705754507885552,1.52901516399663,-0.461574564140234,0.644386438602162,NA,"CICP27","Not Significant"
"ENSG00000268903",12.563571145083,-0.692108467536885,0.566258590750915,-1.22224806623963,0.221613832049565,0.893036171706037,"ENSG00000268903","Not Significant"
"ENSG00000269981",19.5652682507588,-1.04300161203896,0.571707868813725,-1.82436112730642,0.0680974947318707,0.654193234711591,"ENSG00000269981","Not Significant"
"ENSG00000239906",0,NA,NA,NA,NA,NA,"ENSG00000239906","Not Significant"
"ENSG00000241860",9.64994742978179,-0.945076237272034,0.451138258466205,-2.09487051815365,0.036182504278866,0.531684829194451,"ENSG00000241860","Not Significant"
"ENSG00000222623",0,NA,NA,NA,NA,NA,"RNU6-1100P","Not Significant"
"ENSG00000241599",0,NA,NA,NA,NA,NA,"ENSG00000241599","Not Significant"
"ENSG00000279928",0.382910836030278,-1.26256784682662,1.4671959220325,-0.860531185962942,0.389496300299675,NA,"ENSG00000279928","Not Significant"
"ENSG00000279457",6.41695713508204,-0.26597237461212,0.442113822137616,-0.601592534081261,0.547445399780849,0.979846821054155,"ENSG00000279457","Not Significant"
"ENSG00000273874",0,NA,NA,NA,NA,NA,"MIR6859-2","Not Significant"
"ENSG00000228463",2.94119487076663,-0.121556277982691,0.628441813212913,-0.193424873117901,0.846626237308655,NA,"ENSG00000228463","Not Significant"
"ENSG00000241670",0,NA,NA,NA,NA,NA,"RPL23AP21","Not Significant"
"ENSG00000236679",0,NA,NA,NA,NA,NA,"RPL23AP24","Not Significant"
"ENSG00000236743",0,NA,NA,NA,NA,NA,"ENSG00000236743","Not Significant"
"ENSG00000236601",0,NA,NA,NA,NA,NA,"ENSG00000236601","Not Significant"
"ENSG00000237094",2.3375982683073,-0.354735713633869,0.804445129412983,-0.440969434289105,0.659235125212828,NA,"ENSG00000237094","Not Significant"
"ENSG00000269732",0,NA,NA,NA,NA,NA,"WBP1LP7","Not Significant"
"ENSG00000278566",0,NA,NA,NA,NA,NA,"OR4F29","Not Significant"
"ENSG00000224813",0,NA,NA,NA,NA,NA,"SEPT14P13","Not Significant"
"ENSG00000233653",0,NA,NA,NA,NA,NA,"CICP7","Not Significant"
"ENSG00000250575",0.0686653104385949,-1.02634841570723,2.300429201199,-0.446155184942137,0.65548515239556,NA,"ENSG00000250575","Not Significant"
"ENSG00000278757",0.44662888665609,-1.77432155303416,1.61792485813909,-1.09666499288166,0.272787864888692,NA,"ENSG00000278757","Not Significant"
"ENSG00000230021",0.258972873432506,-1.07214430216282,0.910170433620163,-1.17795993207384,0.23881258029359,NA,"ENSG00000230021","Not Significant"
"ENSG00000235146",0.0127418182864105,-0.762895305055082,3.33310783118575,-0.228884075671708,0.8189590178275,NA,"ENSG00000235146","Not Significant"
"ENSG00000225972",13.1111391252919,0.00150850942631545,0.461270204012916,0.0032703378913094,0.997390652539126,0.999825354264307,"MTND1P23","Not Significant"
"ENSG00000225630",1100.82992320456,-0.187294445121318,0.425611019430599,-0.440060140763952,0.659893549760561,0.98586752220152,"MTND2P28","Not Significant"
"ENSG00000237973",216.549007348581,-1.28442121606988,0.421630770579349,-3.0463175500806,0.0023166302751527,0.131325972125561,"MTCO1P12","Not Significant"
"ENSG00000278791",0.577058583210923,-1.56258325188682,1.1569835822484,-1.35056648673459,0.176834342294058,NA,"MIR6723","Not Significant"
"ENSG00000229344",52.6041981459436,-0.522501719289454,0.352835283290418,-1.48086584316848,0.138642326590428,0.800691223490536,"MTCO2P12","Not Significant"
"ENSG00000240409",1.35085174797854,-1.8314265577205,0.797469972546661,-2.29654610301122,0.0216446762816536,NA,"MTATP8P1","Not Significant"
"ENSG00000248527",1725.2166641037,-0.419641571633909,0.350098749497278,-1.19863773360085,0.230668839228614,0.898833545270562,"MTATP6P1","Not Significant"
"ENSG00000198744",7.10841803855465,-0.0799895107894605,0.486662934047878,-0.164363269099083,0.869445177297908,0.996435111175685,"MTCO3P12","Not Significant"
"ENSG00000268663",0,NA,NA,NA,NA,NA,"WBP1LP6","Not Significant"
"ENSG00000273547",0,NA,NA,NA,NA,NA,"OR4F16","Not Significant"
"ENSG00000283574",0,NA,NA,NA,NA,NA,"ENSG00000283574","Not Significant"
"ENSG00000229376",0.00879404863182907,-0.499661875467656,3.33312675339708,-0.149907853026713,0.880837315914581,NA,"CICP3","Not Significant"
"ENSG00000228327",23.956041233812,-0.231119918360656,0.383239460287761,-0.603069209488804,0.546462648720176,0.979846821054155,"ENSG00000228327","Not Significant"
"ENSG00000223181",0.578998096851939,1.25955580431946,0.686725869727851,1.83414643286792,0.0666322604637591,NA,"RNU6-1199P","Not Significant"
"ENSG00000229905",0,NA,NA,NA,NA,NA,"ENSG00000229905","Not Significant"
"ENSG00000237491",52.5752060773957,-0.217694282089817,0.388197406632209,-0.560782422475241,0.574945870873724,0.980084701671367,"ENSG00000237491","Not Significant"
"ENSG00000230092",9.40626977061837,-0.453098417169272,0.405315553157374,-1.11789052662715,0.263613751545268,0.918055956036013,"ENSG00000230092","Not Significant"
"ENSG00000177757",1.0799181793892,-0.36302861789072,0.573779189941563,-0.632697428304594,0.526931249579527,NA,"FAM87B","Not Significant"
"ENSG00000228794",107.215410918913,-0.0245099808855374,0.280590161692056,-0.087351533417044,0.930392092783249,0.997011555098508,"LINC01128","Not Significant"
"ENSG00000225880",15.8843595733418,0.55690976003331,0.34413265694302,1.61829965508191,0.105598035000174,0.7493248222972,"LINC00115","Not Significant"
"ENSG00000230368",0.39289118657364,-2.18223227032348,1.16176720628064,-1.87837310136325,0.0603301426011056,NA,"FAM41C","Not Significant"
"ENSG00000234711",0.0404164604232709,-0.906828808601934,3.33304816374288,-0.272071918571858,0.785566721087478,NA,"TUBB8P11","Not Significant"
"ENSG00000283040",0.0362399220995029,-0.442045080553947,3.33308127339066,-0.132623552891726,0.894491104449071,NA,"ENSG00000283040","Not Significant"
"ENSG00000272438",0.483660524852883,0.0344986095663518,0.79623564133754,0.0433271355554996,0.965440760482943,NA,"ENSG00000272438","Not Significant"
"ENSG00000230699",10.3087581013221,-0.105676687353776,0.55705889234995,-0.189704695149879,0.84954054142617,0.996435111175685,"ENSG00000230699","Not Significant"
"ENSG00000241180",0.0732763011031865,-0.329392152323203,2.30165194855094,-0.143111191303524,0.886202366540843,NA,"ENSG00000241180","Not Significant"
"ENSG00000223764",18.4499032148708,-0.117586669204292,0.509012343560678,-0.231009465078472,0.81730744882562,0.996435111175685,"ENSG00000223764","Not Significant"
