"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig_LFC1","sig_LFC2","sig_LFC3"
"ZSCAN18",0.737513003442182,8.43034692732966,4.35498409893738,8.14200849187399e-05,0.353826902921014,-0.569279796817741,"Not Significant","Not Significant","Not Significant"
"MYOM1",-1.07480772463135,6.97013647722381,-4.31193737993236,9.32595948658445e-05,0.353826902921014,-0.637496397792029,"Significant","Not Significant","Not Significant"
"CDC14B",-0.670027454332484,6.88819615786726,-4.06537455225641,0.000201247362501183,0.509021662219659,-1.02660011849934,"Not Significant","Not Significant","Not Significant"
"CTSC",-1.07452885703783,8.81976473132016,-3.85265481216797,0.00038574472699033,0.546575883413178,-1.35900442085573,"Significant","Not Significant","Not Significant"
"SUPT16H",-1.48589765945606,9.67610584481911,-3.79538985629781,0.000458546793021207,0.546575883413178,-1.44778606776959,"Significant","Not Significant","Not Significant"
"TUBA3C",-0.63737056557246,8.52547910970667,-3.78884096010012,0.00046767296916892,0.546575883413178,-1.45791750742704,"Not Significant","Not Significant","Not Significant"
"SREK1",-0.735790108732822,6.61082366060553,-3.76379430267315,0.000504221294661603,0.546575883413178,-1.49662293073947,"Not Significant","Not Significant","Not Significant"
"KRT18",-0.938352637395371,12.6966591405456,-3.61640878954194,0.000781854994327067,0.666112776281154,-1.72289248832172,"Not Significant","Not Significant","Not Significant"
"BTG3",1.62601374464498,8.76985064967614,3.59948593798123,0.000821858965385429,0.666112776281154,-1.74869657276761,"Significant","Not Significant","Not Significant"
"PON2",-1.05484082799972,9.52452632500805,-3.57280551669524,0.000888947382291544,0.666112776281154,-1.78929966166267,"Significant","Not Significant","Not Significant"
"CYB5B",-0.933844116686389,7.2140852858434,-3.54457762928382,0.000965635284540419,0.666112776281154,-1.83214905833374,"Not Significant","Not Significant","Not Significant"
"CLCN3",-0.824375648878791,8.56760489796811,-3.45013288761493,0.00127099784240962,0.75878546702666,-1.9746568303122,"Not Significant","Not Significant","Not Significant"
"SLIRP",0.737152095412691,11.24602288491,3.40597073189594,0.00144361654902671,0.75878546702666,-2.04081307716063,"Not Significant","Not Significant","Not Significant"
"PDLIM1",-1.27341609857628,11.7579144166233,-3.39012593521515,0.0015108345570226,0.75878546702666,-2.06447056760454,"Significant","Not Significant","Not Significant"
"TOX4",-0.942686626585762,8.64193426991653,-3.38265735644214,0.00154354334530162,0.75878546702666,-2.07560703406917,"Not Significant","Not Significant","Not Significant"
"NDE1",-0.603737762100943,7.44652097644016,-3.34011777646717,0.00174309749251829,0.75878546702666,-2.13885489419769,"Not Significant","Not Significant","Not Significant"
"EXTL2",-0.733324265325192,9.91170624384087,-3.3379513955664,0.00175389063369253,0.75878546702666,-2.14206738736143,"Not Significant","Not Significant","Not Significant"
"SUCLG1",0.572754735226359,7.95933385574645,3.3288437251904,0.00179996552536635,0.75878546702666,-2.155563868501,"Not Significant","Not Significant","Not Significant"
"NPR1",1.53101228639105,9.47770783535293,3.24376078449885,0.00228967362946606,0.770683955314535,-2.28091169925585,"Significant","Not Significant","Not Significant"
"SCYL2",1.20991422539103,8.95096056715997,3.21523909941453,0.00248039441655533,0.770683955314535,-2.32262291015531,"Significant","Not Significant","Not Significant"
"DNAJC22",-1.07536931648688,6.91205799905092,-3.21042105518336,0.00251406190126652,0.770683955314535,-2.32965319687793,"Significant","Not Significant","Not Significant"
"SPRY1",-1.4595082111421,8.99532084045929,-3.20035793308213,0.00258578135083654,0.770683955314535,-2.34432196164113,"Significant","Not Significant","Not Significant"
"GCNT1",-1.11187306143022,7.64757208917117,-3.19825597619529,0.00260100438679477,0.770683955314535,-2.34738337281016,"Significant","Not Significant","Not Significant"
"PRIM1",-1.19078757735764,8.99670479186,-3.19446445535097,0.00262867844966725,0.770683955314535,-2.35290331561174,"Significant","Not Significant","Not Significant"
"HEXB",-0.804432726836149,10.789438819974,-3.18541935639635,0.00269582718839635,0.770683955314535,-2.36606003639572,"Not Significant","Not Significant","Not Significant"
"FANCL",-1.010077857857,9.53981459399132,-3.16771419153294,0.0028319884880386,0.770683955314535,-2.39176519420633,"Significant","Not Significant","Not Significant"
"TPBG",-1.36567925387238,8.42095529399086,-3.15529829044082,0.00293132211912639,0.770683955314535,-2.40975266562436,"Significant","Not Significant","Not Significant"
"NME2",0.663340767223032,12.2431778280184,3.15386087076777,0.00294303246985679,0.770683955314535,-2.41183305236258,"Not Significant","Not Significant","Not Significant"
"KIAA0040",-0.641462859818888,8.16126517118196,-3.14801497907311,0.00299111444998727,0.770683955314535,-2.42028940468747,"Not Significant","Not Significant","Not Significant"
"PEBP1",0.85107105372408,11.7767845565119,3.11995888228283,0.00323237321467782,0.770683955314535,-2.46077360663696,"Not Significant","Not Significant","Not Significant"
"HNRNPC",-0.377128659639513,9.56544085674427,-3.10987958340783,0.00332344236800783,0.770683955314535,-2.47527677862611,"Not Significant","Not Significant","Not Significant"
"SLCO2A1",-1.03704158246487,7.86363482856832,-3.09616579743118,0.00345123900619331,0.770683955314535,-2.49497436230695,"Significant","Not Significant","Not Significant"
"ACADS",0.723305458039442,8.03272762089583,3.09214489118609,0.00348957812492518,0.770683955314535,-2.50074196244361,"Not Significant","Not Significant","Not Significant"
"NDUFA10",0.35652882022137,7.25891014396248,3.07588984554328,0.00364869509092103,0.770683955314535,-2.52402203431443,"Not Significant","Not Significant","Not Significant"
"ARMCX2",1.27884996382291,11.000675981538,3.06481810268286,0.00376095678877238,0.770683955314535,-2.53984519232439,"Significant","Not Significant","Not Significant"
"AP5S1",0.559777932323243,8.21751674111129,3.05751773159209,0.00383674766646135,0.770683955314535,-2.5502635110454,"Not Significant","Not Significant","Not Significant"
"NFIX",0.629821496891648,7.5650082633973,3.05207036215757,0.00389423424901637,0.770683955314535,-2.55802961228139,"Not Significant","Not Significant","Not Significant"
"SPCS3",-0.78686121027324,8.90569528694107,-3.04562400635934,0.00396330919608101,0.770683955314535,-2.56721126469826,"Not Significant","Not Significant","Not Significant"
"CXADR",1.53830277945048,9.4010455701732,3.02811224240113,0.00415681117891973,0.770683955314535,-2.59210579475384,"Significant","Not Significant","Not Significant"
"LTBP4",0.598646422089146,7.12467118978301,3.02500617429297,0.00419204587122005,0.770683955314535,-2.59651400543689,"Not Significant","Not Significant","Not Significant"
"CLDN6",-2.50320822616059,7.98314059071911,-3.02154002297411,0.00423169625905629,0.770683955314535,-2.60143062804073,"Significant","Significant","Not Significant"
"NCOA2",-0.814514933089381,7.44338790445514,-3.01597953676251,0.00429604056611008,0.770683955314535,-2.60931218995915,"Not Significant","Not Significant","Not Significant"
"RPL29",0.576662499830373,13.2708535872662,2.98970301541518,0.00461271691004062,0.770683955314535,-2.64645950842786,"Not Significant","Not Significant","Not Significant"
"NFAT5",-0.727034568279828,7.81894697844856,-2.97346084959925,0.0048192690081825,0.770683955314535,-2.66933962348884,"Not Significant","Not Significant","Not Significant"
"SETX",-0.557855631003489,7.96013203813158,-2.94611462386303,0.00518671363597108,0.770683955314535,-2.70771868328513,"Not Significant","Not Significant","Not Significant"
"GAB2",1.23677379023389,10.2621911081432,2.94428060264176,0.00521227175135797,0.770683955314535,-2.7102861405382,"Significant","Not Significant","Not Significant"
"TGM2",-1.13935553790023,8.018973960126,-2.93702306239274,0.00531456915731754,0.770683955314535,-2.7204379306002,"Significant","Not Significant","Not Significant"
"TBC1D9",-0.694352173380871,8.72354493849907,-2.93417171226556,0.00535527100960944,0.770683955314535,-2.72442283523878,"Not Significant","Not Significant","Not Significant"
"GATA6",1.38034885083262,7.84320637876471,2.93175542258898,0.00538999041443144,0.770683955314535,-2.7277981526143,"Significant","Not Significant","Not Significant"
"ANXA1",-1.18494982138077,9.6642644934482,-2.92139325874788,0.00554128195602267,0.770683955314535,-2.74225669156302,"Significant","Not Significant","Not Significant"
"C21orf91",1.19767817405928,9.05250436718559,2.92100903484564,0.00554696731898964,0.770683955314535,-2.74279229472927,"Significant","Not Significant","Not Significant"
"LSS",0.753942390283912,7.46391081496019,2.91722337661123,0.00560327573296672,0.770683955314535,-2.7480674882192,"Not Significant","Not Significant","Not Significant"
"DHCR24",1.17406059095903,11.8222288740251,2.91585720110519,0.00562372716196521,0.770683955314535,-2.74997033263495,"Significant","Not Significant","Not Significant"
"METTL17",-0.622031305284691,9.36478486414496,-2.91584641844811,0.00562388885349273,0.770683955314535,-2.74998534914423,"Not Significant","Not Significant","Not Significant"
"KLHL2",-1.11787008431086,8.43392070814039,-2.91449191100946,0.00564423495106145,0.770683955314535,-2.75187147823144,"Significant","Not Significant","Not Significant"
"NUP210",-0.821941686062174,8.11445204140936,-2.91161320908512,0.00568770446726594,0.770683955314535,-2.7558784993473,"Not Significant","Not Significant","Not Significant"
"HOXC6",-1.75555730291535,8.77513014582833,-2.87253725445505,0.0063095224847753,0.826649766769526,-2.81006340288479,"Significant","Not Significant","Not Significant"
"COX6A1",0.470900945150533,9.57485266891242,2.86290780882941,0.00647219868751441,0.826649766769526,-2.82335619163645,"Not Significant","Not Significant","Not Significant"
"ZC3H7A",-0.680122781782494,8.27432673263676,-2.85643289008412,0.00658377022711873,0.826649766769526,-2.8322808770392,"Not Significant","Not Significant","Not Significant"
"LITAF",-0.700043322495371,8.48524477201734,-2.85153504011577,0.0066693531575145,0.826649766769526,-2.83902457069275,"Not Significant","Not Significant","Not Significant"
"ATP5PO",0.4993216993838,9.2261443343245,2.84155836604921,0.00684689227337289,0.826649766769526,-2.85274174417598,"Not Significant","Not Significant","Not Significant"
"PLXNA2",-0.68651889545087,7.79517543670013,-2.84025975182991,0.00687032228015482,0.826649766769526,-2.85452532036591,"Not Significant","Not Significant","Not Significant"
"MRPS22",0.590302781632502,9.49222764578093,2.8279934883586,0.00709534113541389,0.826649766769526,-2.87135043053321,"Not Significant","Not Significant","Not Significant"
"CPNE7",0.536387447016373,7.18794021644712,2.82785124086455,0.00709799032122228,0.826649766769526,-2.8715453119234,"Not Significant","Not Significant","Not Significant"
"NDUFB7",0.530139078236077,6.772003425538,2.82257152210215,0.00719697124768698,0.826649766769526,-2.87877481212753,"Not Significant","Not Significant","Not Significant"
"GTF2I",-0.743740917148661,10.7722568877697,-2.82209213731876,0.00720602167179994,0.826649766769526,-2.87943086497733,"Not Significant","Not Significant","Not Significant"
